Code Postal;Ville ;Lieu de rendez-vous;Tarif Adulte;Tarif enfant;traif BB;
51000;Châlons-en-Champagne;Place de la Gare;14;14;0;
51100;Reims;Place de la Gare;20;20;0;
02000;Laon;Place des Droits de l'Homme;30;30;0;
02100;Saint Quentin;Place André Baudez;30;30;0;
08000;Charleville-Mézières;Place de la Gare;30;30;0;
08200;Sedan;Place de la Gare;35;35;0;
55100;Verdun;Place Maurice Genevoix;25;25;0;
57000;Metz;Place du Général de Gaulle;30;30;0;
51300;Vitry-le-François;Place de la Gare;16;16;0;
52100;Saint Dizier;Place Maréchal Leclerc;20;20;0;
54000;Nancy;place Thiers;30;30;0;
10000;Troyes;Gare SNCF;20;20;0;
89100;Sens;Place François Mitterrand;30;30;0;
89000;Auxerre;Rue des Migraines;30;30;0;
52000;Chaumont;Place du Général de Gaulle;30;30;0;
02168;Château Thiérry;Place Jean-Monnet;30;30;0;
77160;Provins;33 rue du Canal;25;25;0;
51310;Esterney;Place François Mittérand;20;20;0;
