id;zip_code;name;GPS
418;02000;Laon;49.566618, 3.618070
1171;59000;Lille;50.628241, 3.068630
1208;59600;Maubeuge;50.279643, 3.969546
1325;59100;Roubaix;50.688817, 3.184392
1410;59200;Tourcoing;50.726902, 3.159734
1417;59300;Valenciennes;50.355679, 3.515726
1569;08000;Charleville-Mézières;49.770649, 4.721450
1845;08200;Sedan;49.703322, 4.943656
2314;10000;Troyes;48.295485, 4.079897
2475;51000;Châlons-en-Champagne;48.962864, 4.367692
2586;51200;Épernay;49.0391844,3.893171
2796;51100;Reims;49.253642,3.9850486
2874;51120;Sézanne;48.7240808,3.6873544
2982;51300;Vitry-le-François;48.7290759,4.577171
3089;52000;Chaumont;48.0882118,5.102527
3663;21000;Dijon;47.331976,4.962181
4544;54000;Nancy;48.6881323,6.1384175
5212;55100;Verdun;49.1440766,5.2908455
5271;89000;Auxerre;47.7939685,3.5117836
5611;89100;Sens;48.1951399,3.2688644
6103;77160;Provins;48.562947,3.2494716,13
7028;02168;Château-Thierry (siège);49.055647,3.3433316
7067;57000;Metz;49.1049442,6.126366,12
7088;02100;Saint Quentin;49.8476836,3.2440441,13
7089;62000;Arras;50.2893136,2.7328427,13
7090;59493;Villeneuve d'Asq;50.6363075,3.0862331,12
7091;52100;Saint Dizier;48.6320317,4.869814,12
7092;52200;Langre;47.8595198,5.3012195,13
7093;51310;Esterney;48.7281583,3.5489015,13
